date,performance,accessibility,best_practices,seo
2026-03-15,0,0,0,0
2026-03-16,0,0,0,0
2026-03-17,0,0,0,0
2026-03-18,0,0,0,0
2026-03-19,0,0,0,0
2026-03-20,0,0,0,0
2026-03-21,0,0,0,0
2026-03-22,0,0,0,0
2026-03-23,0,0,0,0
2026-03-24,0,0,0,0
2026-03-25,0,0,0,0
2026-03-26,0,0,0,0
2026-03-27,0,0,0,0
2026-03-28,0,0,0,0
2026-03-29,0,0,0,0
2026-03-30,0,0,0,0
2026-03-31,0,0,0,0
2026-04-01,0,0,0,0
2026-04-02,0,0,0,0
2026-04-03,62,87.31,89,88.45
2026-04-04,55.82,91.74,91.19,88.43
2026-04-05,0,0,0,0
2026-04-06,52.8,92.56,90.72,89.27
2026-04-07,53.22,92.92,91.42,89.72
2026-04-08,53.55,91.94,90.09,87.91
2026-04-09,0,0,0,0
2026-04-10,54.76,92.09,89.53,87.95
2026-04-11,53.53,92.23,91.12,87.3
2026-04-12,0,0,0,0
2026-04-13,54.71,92.49,90.92,88.13
2026-04-14,0,0,0,0
